DATE,ENERGY,HDD18_3,CDD0,CDD10,PRECTOT,RH2M,T2M,T2M_MIN,T2M_MAX,ALLSKY,HOLIDAY
1/1/2016 0:00,,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 1:00,113.415,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 2:00,112.431,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 3:00,111.517,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 4:00,117.24,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 5:00,114.948,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 6:00,118.098,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 7:00,119.182,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 8:00,116.869,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 9:00,116.89,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 10:00,114.626,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 11:00,115.988,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 12:00,115.858,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 13:00,115.119,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 14:00,113.394,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 15:00,116.401,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 16:00,113.698,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 17:00,114.385,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
1/1/2016 18:00,113.489,11.32,6.98,0,10.7,90.97,6.02,1.74,12.23,1.7,1
