DATE,ENERGY,HDD18_3,CDD10,CDD0,PRECTOT,RH2M,T2M_MAX,T2M_MIN,ALLSKY,T2M,HOLIDAY
1/1/2016 0:00,,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 1:00,43.269,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 2:00,45.159,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 3:00,39.113,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 4:00,36.299,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 5:00,38.422,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 6:00,37.183,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 7:00,39.488,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 8:00,33.496,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 9:00,23.512,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 10:00,26.509,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 11:00,27.695,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 12:00,26.761,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 13:00,25.785,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 14:00,26.611,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 15:00,26.676,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 16:00,29.784,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 17:00,32.524,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 18:00,43.749,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 19:00,45.113,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 20:00,46.81,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 21:00,44.905,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 22:00,47.006,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/1/2016 23:00,42.423,11.32,0,6.98,10.7,90.97,12.23,1.74,1.7,6.02,1
1/2/2016 0:00,40.889,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 1:00,42.495,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 2:00,41.059,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 3:00,42.547,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 4:00,40.632,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 5:00,40.548,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 6:00,57.645,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 7:00,54.855,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 8:00,59.793,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 9:00,55.342,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 10:00,56.03,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 11:00,58.122,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 12:00,57.451,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
1/2/2016 13:00,60.566,12.83,0,5.47,0.32,84.78,8.42,2.52,1.99,4.78,1
